ID,Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
8.2,135 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.750.000
TL"
8.3,140 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","4.500.000
TL"
8.4,100 m²,2 + 1,3 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.990.000
TL"
8.5,155 m²,3 + 1,5 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.500.000
TL"
8.6,156 m²,3 + 1,25 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","4.000.000
TL"
8.7,400 m²,4 + 1,15 Yaşında,İzmir,"Balçova, Korutürk Mahallesi","15.000.000
TL"
8.8,90 m²,2 + 1,28 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.000.000
TL"
8.9,75 m²,1 + 1,Sıfır Bina,İzmir,"Balçova, Teleferik Mahallesi","3.650.000
TL"
8.10,145 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.500.000
TL"
8.11,155 m²,3 + 1,11 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.650.000
TL"
8.12,120 m²,3 + 1,21 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","3.320.000
TL"
8.13,110 m²,2 + 1,35 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.800.000
TL"
8.14,260 m²,4 + 1,Sıfır Bina,İzmir,"Balçova, Çetin Emeç Mahallesi","15.000.000
TL"
8.15,95 m²,2 + 1,38 Yaşında,İzmir,"Balçova, Teleferik Mahallesi","2.350.000
TL"
8.16,210 m²,5 + 1,7 Yaşında,İzmir,"Balçova, Onur Mahallesi","11.850.000
TL"
8.17,90 m²,2 + 1,35 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.200.000
TL"
8.18,75 m²,1 + 1,7 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.500.000
TL"
8.19,120 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","3.850.000
TL"
8.20,350 m²,5 + 1,Sıfır Bina,İzmir,"Balçova, Çetin Emeç Mahallesi","29.000.000
TL"
8.21,100 m²,2 + 1,11 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","3.500.000
TL"
8.22,135 m²,3 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","3.500.000
TL"
8.23,100 m²,2 + 1,12 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","3.950.000
TL"
8.24,150 m²,4 + 1,10 Yaşında,İzmir,"Balçova, Onur Mahallesi","13.000.000
TL"
9.1,165 m²,3 + 1,35 Yaşında,İzmir,"Balçova, Onur Mahallesi","4.250.000
TL"
9.2,95 m²,2 + 1,35 Yaşında,İzmir,"Balçova, Eğitim Mahallesi","2.700.000
TL"
9.3,95 m²,2 + 1,4 Yaşında,İzmir,"Balçova, Onur Mahallesi","5.500.000
TL"
9.4,150 m²,4 + 1,3 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","5.500.000
TL"
9.5,105 m²,2 + 1,30 Yaşında,İzmir,"Balçova, Onur Mahallesi","2.250.000
TL"
9.6,110 m²,2 + 1,5 Yaşında,İzmir,"Balçova, Çetin Emeç Mahallesi","3.850.000
TL"
9.7,100 m²,3 + 1,31 Yaşında,İzmir,"Balçova, Fevzi Çakmak Mahallesi","2.850.000
TL"
9.8,200 m²,4 + 1,25 Yaşında,İzmir,"Balçova, Onur Mahallesi","12.000.000
TL"
